
14.2.96.55, 2605, 0, -34.93249512, 138.5568848, "5033"
60.240.72.136, 5000, 0, -34.93139648, 138.6463013, "5068"
118.210.51.83, 5000, 0, -34.92869568, 138.5986023, "5000"
123.254.114.99, 871, 3, -34.92869568, 138.5986023, "5000"
1.124.49.92, 881, 4, -34.92869568, 138.5986023, "5000"
1.125.48.103, 870, 3, -34.92869568, 138.5986023, "5000"
172.198.71.227, , , -34.92869568, 138.5986023, "5000"
101.185.96.135, 5159, 0, -34.92869568, 138.5986023, "5000"
121.45.128.135, 5670, 4, -34.92869568, 138.5986023, "5000"
120.17.128.196, 2170, 0, -34.92869568, 138.5986023, "5000"
58.6.81.53, 2880, 2, -34.92869568, 138.5986023, "5000"
14.2.64.64, 5251, 1, -34.92869568, 138.5986023, "5000"
1.125.49.7, 5091, 0, -34.92869568, 138.5986023, "5000"
101.173.47.74, 5353, 1, -34.92869568, 138.5986023, "5000"
123.3.195.160, 5006, 0, -34.92869568, 138.5986023, "5000"
122.151.171.162, 5092, 0, -34.92869568, 138.5986023, "5000"
203.26.122.9, 5000, 0, -34.92869568, 138.5986023, "5000"
203.26.122.8, 5253, 1, -34.92869568, 138.5986023, "5000"
203.26.122.9, 5011, 0, -34.92869568, 138.5986023, "5000"
203.26.122.8, 5253, 1, -34.92869568, 138.5986023, "5000"
203.26.122.9, 5042, 0, -34.92869568, 138.5986023, "5000"
1.125.48.215, , , -34.92869568, 138.5986023, "5000"
124.169.243.116, 5048, 0, -34.92869568, 138.5986023, "5000"
101.173.49.25, 5353, 1, -34.92869568, 138.5986023, "5000"
203.122.238.4, 5109, 0, -34.92869568, 138.5986023, "5000"
118.210.117.209, 5700, 2, -34.92869568, 138.5986023, "5000"
122.109.155.118, 5000, 0, -34.92869568, 138.5986023, "5000"
203.122.251.94, 5069, 0, -34.92869568, 138.5986023, "5000"
101.103.151.53, 5556, 2, -34.92869568, 138.5986023, "5000"
101.185.33.117, 5290, 1, -34.92649841, 138.5703125, "5031"
101.166.195.211, 5011, 0, -34.92590332, 138.5280151, "5032"
101.103.160.171, 5112, 0, -34.91670227, 138.666687, "5068"
180.181.43.17, 5433, 2, -34.91529846, 139.3033142, "5238"
203.26.122.9, 5042, 0, -34.90730286, 138.5914001, "5006"
203.45.171.243, 5006, 0, -34.90139771, 138.5750122, "5007"
118.211.56.201, 5055, , -34.90139771, 138.5750122, "5007"
124.171.181.180, 5000, 0, -34.8999939, 138.5332947, "5023"
122.105.137.98, 5006, 0, -34.88330078, 138.5499878, "5009"
58.170.22.91, 5275, 2, -34.88330078, 138.5499878, "5009"
60.242.67.207, 5012, 0, -34.88330078, 138.5499878, "5009"
1.124.48.47, 2340, 1, -34.87930298, 138.6355896, "5087"
1.124.48.116, 2163, 0, -34.87930298, 138.6355896, "5087"
1.124.48.187, 2880, 2, -34.87930298, 138.6355896, "5087"
1.125.48.169, 5211, 1, -34.86849976, 138.6279907, "5086"
1.124.48.98, 5081, 0, -34.8572998, 138.6133118, "5085"
58.160.212.169, 5000, 0, -34.8500061, 138.6499939, "5086"
1.123.172.81, 2880, 2, -34.83329773, 138.6333008, "5098"
144.138.138.197, 5211, 1, -34.83329773, 138.6832886, "5092"
124.169.43.113, 880, 4, -34.81590271, 138.6080933, "5095"
120.20.131.18, , , -34.81590271, 138.6080933, "5095"
121.45.130.113, 5453, 2, -34.78329468, 138.7333069, "5125"
58.160.168.171, 5070, 0, -34.76669312, 138.6333008, "5108"
58.160.176.130, 5092, 0, -34.76669312, 138.6333008, "5108"
49.181.246.30, 2440, 1, -34.55369568, 150.3711853, "2577"
